Name,Algorithm,Reduced,Iterations,Time,Cost
127309_1,heuristic greedy,True,11,27.83783769607544,193.39722947684442
52657_3,heuristic greedy,True,1,2.61201548576355,10.0
103854_2,heuristic greedy,True,5,13.083022832870483,91.13914761960616
107589_1,heuristic greedy,True,5,13.044116735458374,59.47659671999998
19114_3,heuristic greedy,True,6,15.598289489746094,84.42957241038064
108738_1,heuristic greedy,True,2,5.152223110198975,20.885974778284872
126139_3,heuristic greedy,True,1,2.296858310699463,10.0
122762_1,heuristic greedy,True,8,21.54743218421936,206.02095152765452
100338_3,heuristic greedy,True,2,5.213025808334351,22.62789443999999
153354_3,heuristic greedy,True,5,12.191413402557373,70.99931600748738
131096_1,heuristic greedy,True,13,31.040559768676758,212.4370841976546
38547_1,heuristic greedy,True,3,7.893394708633423,33.209999999999994
94480_2,heuristic greedy,False,20,47.16496920585632,367.05648759684436
151831_3,heuristic greedy,True,5,11.555166006088257,50.0
149827_3,heuristic greedy,True,6,14.97597074508667,100.82063432000002
123972_1,heuristic greedy,True,5,12.348019361495972,51.05498305999999
31713_1,heuristic greedy,True,4,9.85565710067749,41.57747458999999
68859_2,heuristic greedy,True,3,7.367309808731079,32.64789443999999
108327_3,heuristic greedy,True,4,9.83389401435852,60.508562089999984
108230_2,heuristic greedy,True,7,17.27380347251892,115.37450496
102355_1,heuristic greedy,True,5,12.262205839157104,50.522491529999996
152475_3,heuristic greedy,True,2,5.32276463508606,20.0
64066_1,heuristic greedy,True,4,9.075781345367432,41.05498305999999
82470_2,heuristic greedy,True,3,7.610646963119507,50.51157576000003
174120_3,heuristic greedy,True,7,17.276852130889893,101.66556044999999
82955_1,heuristic greedy,True,2,5.052488088607788,27.93329835999999
127335_1,heuristic greedy,True,4,9.753915309906006,41.56747458999999
131582_3,heuristic greedy,True,9,21.973285675048828,143.32339591537792
64153_3,heuristic greedy,True,2,4.626632928848267,25.255788879999983
105197_3,heuristic greedy,True,1,2.621344804763794,10.522491529999996
162981_3,heuristic greedy,True,4,9.568453788757324,60.51157576000003
119407_1,heuristic greedy,True,2,4.47304105758667,20.0
99698_2,heuristic greedy,True,8,18.914429664611816,113.69870619999996
129427_1,heuristic greedy,True,8,20.263181447982788,123.35460931005004
32825_2,heuristic greedy,True,12,28.94061851501465,235.1905818
170700_1,heuristic greedy,True,2,4.165865421295166,20.0
74924_2,heuristic greedy,True,7,17.96567964553833,126.6530689849392
133745_1,heuristic greedy,True,5,12.37889552116394,53.802944420050046
35885_1,heuristic greedy,True,5,11.916138648986816,60.057192929999985
138121_3,heuristic greedy,True,11,25.84311532974243,166.54982479765442
116808_3,heuristic greedy,True,2,4.756280899047852,20.0
139700_3,heuristic greedy,True,5,12.447748184204102,51.05498305999999
141151_1,heuristic greedy,True,7,17.335684299468994,101.80303087386001
11186_3,heuristic greedy,True,8,19.229676246643066,144.2538252074873
122166_2,heuristic greedy,True,4,10.803069353103638,126.41157642000002
25119_2,heuristic greedy,True,1,2.627972364425659,10.0
74047_1,heuristic greedy,True,4,9.621564149856567,48.80926084996234
138825_3,heuristic greedy,True,5,11.721822261810303,53.98365571537791
157337_2,heuristic greedy,True,3,7.810119390487671,32.62789443999999
153488_3,heuristic greedy,True,3,7.8250768184661865,45.265788879999995
135358_2,heuristic greedy,True,8,19.23889994621277,141.33371944000007
3099_2,heuristic greedy,True,9,21.518625497817993,125.54510094552239
125971_2,heuristic greedy,True,4,10.368316411972046,46.6115501553779
89578_3,heuristic greedy,True,5,11.573052167892456,52.089966119999985
45155_1,heuristic greedy,True,1,2.6529133319854736,13.2
165827_2,heuristic greedy,True,3,6.847687005996704,33.98365571537791
