Name,Algorithm,Reduced,Iterations,Time
25594_3,simple greedy,True,9,27.576255083084106
83356_2,simple greedy,True,7,19.107900857925415
85133_2,simple greedy,True,4,10.025190591812134
126139_3,simple greedy,True,13,34.593488931655884
153196_1,simple greedy,True,6,15.32302212715149
129427_1,simple greedy,True,14,37.279303312301636
164852_2,simple greedy,True,5,13.529817819595337
139961_3,simple greedy,True,11,29.593867540359497
47336_1,simple greedy,True,3,7.728331089019775
90456_2,simple greedy,True,13,33.45852303504944
101951_1,simple greedy,False,28,71.93462920188904
120379_3,simple greedy,True,28,71.87454032897949
63617_1,simple greedy,True,7,17.271817922592163
108230_2,simple greedy,True,8,20.384515285491943
117774_3,simple greedy,False,7,18.453672647476196
66369_1,simple greedy,True,22,52.947351932525635
975_2,simple greedy,True,2,4.502958059310913
99541_1,simple greedy,True,5,13.03431224822998
145420_1,simple greedy,True,7,18.336962461471558
173337_1,simple greedy,False,36,91.35672163963318
29068_3,simple greedy,True,9,22.753153800964355
89790_3,simple greedy,True,6,15.596590280532837
9421_2,simple greedy,True,3,7.458053350448608
156391_3,simple greedy,True,1,2.593061685562134
103663_1,simple greedy,True,7,17.512260913848877
146561_3,simple greedy,True,3,7.7053937911987305
135257_3,simple greedy,True,8,21.345914125442505
154401_2,simple greedy,True,5,12.409812927246094
155235_3,simple greedy,True,12,31.515234231948853
94829_2,simple greedy,True,2,4.987660646438599
125383_3,simple greedy,True,14,34.03299593925476
166844_1,simple greedy,False,33,83.05303692817688
31031_2,simple greedy,True,5,12.780076742172241
60358_1,simple greedy,True,8,19.935822010040283
95125_3,simple greedy,False,18,43.842195987701416
124155_2,simple greedy,False,28,84.39630079269409
12331_1,simple greedy,True,3,7.757257461547852
153488_3,simple greedy,True,4,12.425769805908203
109580_1,simple greedy,True,13,34.30527472496033
157279_2,simple greedy,True,5,13.169780254364014
70516_1,simple greedy,True,12,28.831123113632202
82028_1,simple greedy,True,8,17.80240297317505
87768_1,simple greedy,True,6,13.669442415237427
58520_1,simple greedy,True,1,2.479368209838867
121993_1,simple greedy,True,19,41.73644828796387
79772_3,simple greedy,True,1,2.23207426071167
157417_3,simple greedy,True,14,32.47580552101135
155769_2,simple greedy,True,3,6.923487663269043
63004_3,simple greedy,True,11,25.541135787963867
75577_3,simple greedy,False,33,73.41087555885315
71486_2,simple greedy,True,3,6.897561550140381
73186_2,simple greedy,True,8,18.139013290405273
48307_3,simple greedy,True,4,8.915464878082275
111263_3,simple greedy,True,6,13.766242265701294
89942_3,simple greedy,True,14,32.972562313079834
24284_1,simple greedy,True,1,2.236021041870117
55185_1,simple greedy,True,9,19.048061847686768
144421_3,simple greedy,True,3,7.022540092468262
59288_1,simple greedy,True,11,24.463593006134033
142278_1,simple greedy,True,8,19.275510549545288
5675_2,simple greedy,True,3,6.835720539093018
138206_2,simple greedy,True,8,18.504549503326416
169433_3,simple greedy,True,12,26.7176616191864
19950_3,simple greedy,True,10,21.71024465560913
103943_1,simple greedy,True,5,12.844703674316406
4772_2,simple greedy,True,3,6.800812005996704
55554_3,simple greedy,True,9,19.990578413009644
137655_1,simple greedy,True,23,52.05138325691223
102492_2,simple greedy,True,3,6.372956037521362
149532_2,simple greedy,False,26,59.63671064376831
137032_2,simple greedy,True,18,41.20387053489685
59024_1,simple greedy,True,5,11.907463550567627
77053_1,simple greedy,True,17,39.251057386398315
119691_2,simple greedy,True,12,32.003936529159546
113785_1,simple greedy,True,15,39.469451904296875
146206_2,simple greedy,True,9,24.146173000335693
32219_2,simple greedy,True,2,5.002622365951538
118506_1,simple greedy,True,3,7.553802967071533
86768_3,simple greedy,True,1,2.252974033355713
113903_1,simple greedy,True,21,49.842302083969116
37068_1,simple greedy,True,8,18.414803981781006
128788_1,simple greedy,True,4,10.366276264190674
143495_2,simple greedy,True,7,17.178582191467285
67322_3,simple greedy,True,6,14.505208253860474
149923_2,simple greedy,True,15,36.84793472290039
52263_3,simple greedy,True,21,50.64005470275879
63926_3,simple greedy,True,7,18.410783767700195
1294_3,simple greedy,True,13,33.102372884750366
67405_3,simple greedy,True,14,33.17786931991577
82259_2,simple greedy,True,5,13.044127702713013
42389_1,simple greedy,True,8,19.491919994354248
97183_3,simple greedy,False,33,78.62400817871094
165827_2,simple greedy,True,6,14.732567548751831
150165_1,simple greedy,True,6,14.696747541427612
153410_1,simple greedy,False,6,14.179040670394897
160957_1,simple greedy,True,3,6.963382720947266
167212_2,simple greedy,True,8,19.108941078186035
48799_2,simple greedy,True,3,7.391272783279419
148578_2,simple greedy,True,11,26.811670780181885
93803_3,simple greedy,True,1,2.563154935836792
94480_2,simple greedy,False,32,75.65592408180237
137290_1,simple greedy,True,3,7.377273082733154
47993_1,simple greedy,True,9,21.025785446166992
74924_2,simple greedy,True,14,35.7983033657074
91134_1,simple greedy,True,14,33.55527663230896
104373_2,simple greedy,True,4,10.833081483840942
134356_3,simple greedy,True,4,9.681129455566406
38547_1,simple greedy,True,5,13.254613876342773
74241_1,simple greedy,True,4,10.222667455673218
116019_3,simple greedy,True,2,4.671547889709473
135565_2,simple greedy,True,2,4.669517278671265
51191_3,simple greedy,False,31,72.6359920501709
65266_1,simple greedy,True,8,19.462958335876465
97059_3,simple greedy,True,9,22.05802869796753
101602_3,simple greedy,True,10,25.466909170150757
72649_2,simple greedy,True,9,22.003567457199097
138806_2,simple greedy,True,1,2.4524412155151367
100888_2,simple greedy,True,4,9.064759016036987
118014_1,simple greedy,True,13,33.582226276397705
141981_1,simple greedy,True,19,45.86838936805725
143075_2,simple greedy,True,12,28.391089916229248
148126_2,simple greedy,True,7,17.530136346817017
156947_2,simple greedy,True,2,4.7173919677734375
102905_2,simple greedy,True,12,31.30641508102417
24826_1,simple greedy,True,11,25.278404235839844
72734_3,simple greedy,True,7,16.526935815811157
52864_1,simple greedy,True,1,2.126314640045166
154123_2,simple greedy,True,4,9.910504817962646
54434_3,simple greedy,True,1,2.654906988143921
102355_1,simple greedy,True,12,29.294920206069946
127920_1,simple greedy,True,11,26.70215368270874
12738_2,simple greedy,True,17,43.36654758453369
173960_3,simple greedy,True,8,18.649296045303345
91343_3,simple greedy,True,11,25.885831117630005
165872_2,simple greedy,False,12,27.275436401367188
75930_1,simple greedy,True,5,12.56838846206665
103131_2,simple greedy,True,29,68.75824928283691
151230_2,simple greedy,True,4,9.534509897232056
58270_3,simple greedy,True,9,20.959963083267212
75921_2,simple greedy,True,12,29.28780961036682
165329_2,simple greedy,True,14,32.61588644981384
123305_2,simple greedy,True,10,25.96684765815735
112647_3,simple greedy,True,6,14.060442209243774
140878_3,simple greedy,True,11,26.420400857925415
150465_2,simple greedy,True,5,12.199374914169312
128679_2,simple greedy,True,9,22.990535974502563
141726_2,simple greedy,True,5,12.222315788269043
137079_1,simple greedy,True,23,53.71746897697449
173544_2,simple greedy,True,13,32.65438461303711
39291_3,simple greedy,True,1,2.3148081302642822
109402_2,simple greedy,True,16,40.32198762893677
43070_2,simple greedy,True,1,2.362179756164551
43665_1,simple greedy,True,12,27.47203826904297
19845_2,simple greedy,True,13,32.20655918121338
139801_1,simple greedy,True,11,26.76343822479248
62814_2,simple greedy,True,11,29.070277452468872
80562_2,simple greedy,True,10,24.045965671539307
130642_3,simple greedy,True,12,28.284416675567627
133249_3,simple greedy,True,12,29.06937050819397
3212_1,simple greedy,True,20,48.922186613082886
12889_1,simple greedy,True,5,11.387559175491333
131936_2,simple greedy,True,5,12.773842334747314
48509_2,simple greedy,True,2,4.6625730991363525
62589_3,simple greedy,True,4,9.355979442596436
137584_1,simple greedy,False,27,67.06005477905273
47874_2,simple greedy,True,2,4.802156209945679
147222_1,simple greedy,True,4,9.667153120040894
16006_2,simple greedy,True,6,14.787518501281738
7461_3,simple greedy,True,1,2.119335174560547
76911_2,simple greedy,True,2,5.025623321533203
89053_3,simple greedy,True,8,19.008169412612915
1045_1,simple greedy,True,15,33.84177112579346
3119_3,simple greedy,True,9,21.599239110946655
174444_1,simple greedy,False,4,9.255273342132568
32825_2,simple greedy,True,2,4.584738731384277
157568_3,simple greedy,True,15,36.13441848754883
41407_3,simple greedy,True,11,27.442200899124146
123800_1,simple greedy,True,6,15.327011823654175
26133_3,simple greedy,True,5,12.62025785446167
64066_1,simple greedy,True,4,9.633239269256592
131956_1,simple greedy,True,7,17.878652095794678
47286_1,simple greedy,True,9,21.68307089805603
67398_2,simple greedy,True,1,2.349134922027588
109317_1,simple greedy,True,2,5.045544624328613
129851_2,simple greedy,True,4,10.298511266708374
102797_2,simple greedy,False,21,54.75911784172058
49483_3,simple greedy,True,6,13.613690614700317
106029_3,simple greedy,True,17,45.737070083618164
121370_1,simple greedy,True,19,45.882452726364136
107589_1,simple greedy,True,3,7.821083307266235
151831_3,simple greedy,True,12,27.650119066238403
106260_3,simple greedy,True,1,2.484355926513672
173822_3,simple greedy,True,17,41.428316831588745
39163_1,simple greedy,True,8,19.32234764099121
131974_3,simple greedy,True,3,7.881918907165527
