Name,Algorithm,Reduced,Iterations,Time,Cost
9023_1,simple greedy,True,13,30.343949556350708,149.17295743604245
42389_1,simple greedy,True,8,17.549139261245728,81.58635114960907
113319_2,simple greedy,True,2,4.510808706283569,6.93
163465_2,simple greedy,True,6,13.145868301391602,25.798595959999993
86768_3,simple greedy,True,1,2.142306089401245,0.0
39163_1,simple greedy,True,8,19.382651329040527,80.36091534202968
76911_2,simple greedy,True,2,4.551839828491211,26.847192929999984
158463_1,simple greedy,True,14,32.52848672866821,167.07994015000003
47874_2,simple greedy,True,2,4.3184521198272705,22.63789443999999
143075_2,simple greedy,True,12,26.21291184425354,98.36793912160977
109402_2,simple greedy,True,16,37.30043816566467,164.64633235253933
130731_3,simple greedy,True,5,10.880062580108643,31.6476136903765
73941_1,simple greedy,True,15,32.60502290725708,182.87514731600197
127309_1,simple greedy,True,22,51.30293560028076,263.9253095045452
47993_1,simple greedy,True,9,19.573033094406128,94.68690991614338
75448_2,simple greedy,True,3,6.826750755310059,15.243832269518377
142240_2,simple greedy,True,2,4.678487062454224,10.0
23572_3,simple greedy,True,5,10.625591039657593,45.27578887999998
117144_2,simple greedy,True,13,28.172677993774414,121.9155828657646
6329_1,simple greedy,True,14,30.213651657104492,155.39897059005003
70695_2,simple greedy,True,3,6.415841579437256,13.487413666563768
55292_2,simple greedy,True,10,24.135519981384277,154.08735546020822
116743_1,simple greedy,True,8,16.726730823516846,60.90099989237874
139588_3,simple greedy,True,3,6.86265230178833,24.371708772601284
162899_1,simple greedy,True,2,4.361475944519043,12.32
114296_2,simple greedy,True,8,17.49821376800537,73.77719192
102883_1,simple greedy,True,7,15.698024988174438,52.25037334538115
170047_1,simple greedy,True,4,8.921147108078003,11.99
58153_1,simple greedy,True,13,28.64968228340149,158.11887931005
123800_1,simple greedy,True,6,14.164121627807617,60.55249152999999
150835_2,simple greedy,True,12,29.140345573425293,164.3880896339279
160113_1,simple greedy,True,10,22.739210605621338,83.01619175903849
91343_3,simple greedy,True,11,23.70562982559204,152.32580692811553
117591_3,simple greedy,True,9,20.86141276359558,60.617565265381145
84548_3,simple greedy,True,10,24.197386026382446,92.7215178567122
134174_1,simple greedy,True,6,14.10675573348999,42.42981251077169
31625_3,simple greedy,True,14,31.78903841972351,157.43202204391574
52263_3,simple greedy,True,21,45.98207664489746,246.23692910416952
173854_1,simple greedy,True,16,34.77508521080017,173.56724998275394
64153_3,simple greedy,True,4,8.760570049285889,53.18908723999998
128147_2,simple greedy,True,4,9.360965728759766,32.71310976295636
1940_3,simple greedy,True,13,28.953603267669678,234.4775293841189
104739_2,simple greedy,True,24,52.21569752693176,323.9953992253268
12902_2,simple greedy,True,12,26.600481510162354,140.3222725410909
28587_3,simple greedy,True,8,17.41674780845642,62.049484336152815
62814_2,simple greedy,True,11,26.27379870414734,202.95526808037647
74291_3,simple greedy,True,9,21.257153749465942,65.57632379951835
164670_2,simple greedy,True,13,29.779389142990112,112.18419078512821
81768_2,simple greedy,True,6,13.13188624382019,130.21894754999997
173537_3,simple greedy,True,11,26.117212295532227,87.86003370844531
11186_3,simple greedy,True,13,29.224966526031494,211.37252976855513
26966_2,simple greedy,True,14,29.653977394104004,183.9210393554975
60717_2,simple greedy,True,3,7.044159412384033,40.03719292999999
