Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
Evolutionarily-Curated Curriculum Learning,simple greedy,True,2,3.611644744873047,43.67249009999999,2
Expected Value of,simple greedy,True,6,22.9238338470459,49.091701999999984,6
Explainable Failure Predictions,simple greedy,True,6,19.47649383544922,96.50251569375004,6
Explaining Reward Functions,simple greedy,False,3,8.846002101898193,15.263757599999991,3
Exploiting Cross-Lingual Subword,simple greedy,True,1,4.101769208908081,0.0,1
Exploiting Language Models,simple greedy,True,5,18.1959125995636,34.122486399999985,5
Exploiting Multiple Abstractions,simple greedy,False,7,43.980281829833984,37.238341074999965,7
Exploring Gameplay With,simple greedy,True,8,21.41641926765442,80.79469159999996,8
Exploring the Efficacy,simple greedy,True,4,13.132517576217651,64.24806584775997,4
Fair Conformal Predictors,simple greedy,True,4,24.443912029266357,47.83547999999999,4
Fast and Knowledge-Free,simple greedy,True,6,23.82730197906494,30.135353200000054,6
Few-Shot Learning for,simple greedy,True,3,6.969794034957886,18.448664124999993,3
Finding All Bayesian,simple greedy,True,7,25.443010568618774,53.334687599999995,7
Fine-Grained Car Detection,simple greedy,True,6,18.504431009292603,41.23227280000002,6
Fine-grained Retrieval Prompt,simple greedy,True,3,11.399664640426636,14.809737599999977,3
Fixation Maximization in,simple greedy,True,6,25.684282541275024,44.92623639999999,6
Forecasting with Sparse,simple greedy,True,5,28.507692575454712,34.139765200000014,5
Frame and Feature-Context,simple greedy,True,10,63.41203045845032,59.60681155000004,10
Game-theoretic Approach for,simple greedy,False,11,42.5958137512207,62.077583600000025,11
Generalized Planning in,simple greedy,False,5,24.34795308113098,42.641378799999984,5
Generative structured normalizing,simple greedy,True,9,25.95219898223877,50.40298167499995,9
Geometric,simple greedy,True,7,71.20914769172668,30.463405149999986,7
Harnessing the Power,simple greedy,True,8,34.25747632980347,75.83740149999996,8
Hierarchical Average Reward,simple greedy,True,8,26.67165446281433,65.61685067999996,8
Human Capabilities as,simple greedy,True,5,12.236903429031372,28.943371624999976,5
Human in the,simple greedy,False,7,24.479506015777588,50.76926519999995,7
Humans_ Assessment of,simple greedy,True,10,53.07188844680786,72.30799560000051,10
Hyperbolic Graph Diffusion,simple greedy,False,4,17.372783184051514,19.38185759999999,0
Identification of Abnormal,simple greedy,True,7,24.128833770751953,30.959209875000056,7
